question,document
I just found this course — can I still sign up and start now?,74eb249bbf
Is it too late to join the course if I missed the beginning?,74eb249bbf
Can I still take this course even though I discovered it late?,74eb249bbf
"If I join the course now, can I still get a certificate somehow?",74eb249bbf
What do I need to do to be eligible for the certificate if I’m joining late?,74eb249bbf
"I registered for the LLM Zoomcamp, but I still didn’t get any confirmation email — should I be worried?",977bf7786c
Do I actually need a confirmation message to start the course and submit homework?,977bf7786c
Is there some accepted or registered list I’m supposed to be on before doing the assignments?,977bf7786c
What’s the point of registering if I can already begin learning and turning in homework without it?,977bf7786c
"If the registration form is only for interest, does that mean I can just join and start right away?",977bf7786c
"How do I join the Office Hours or live workshop stream if I’m a student, and where is the video link usually posted?",489dd1c9d9
"Is the Zoom link for live sessions available to everyone, or only to instructors and TAs?",489dd1c9d9
"If I can’t use Zoom for the workshop, what’s the usual way students watch and ask questions during the session?",489dd1c9d9
Where should I look for the live session URL before the Office Hours start?,489dd1c9d9
"Should I ask questions in the chat during a live session, or is there a better place to send them?",489dd1c9d9
"Where should I begin if I’m just joining the LLM Zoomcamp, and what pages or repo should I check first?",04919992b3
"What’s the usual weekly flow for this course — do I watch videos first, then do notebooks, then homework?",04919992b3
"Can I start LLM Zoomcamp anytime, or do I need to wait for a specific date?",04919992b3
Where do I find the deadlines and submit homework answers for the course?,04919992b3
"Is the homework basically the same as the lesson exercises, or does it use different data/tasks?",04919992b3
How can I find my own entry on the leaderboard if I can’t spot my name right away?,c2903069a0
"Why do I have a random name on the leaderboard, and can I change it?",c2903069a0
Where do I check what my displayed name is in the course profile?,c2903069a0
"If I want a different nickname on the leaderboard, which profile field should I edit?",c2903069a0
"What name will show on my certificate, and do I need to update it somewhere?",c2903069a0
Can I do this course on my own schedule and still receive a certificate at the end?,69d122f12e
"If I take the self-paced version, is there any way to get the course certificate later?",69d122f12e
Do certificates only count for people who finish with a live cohort?,69d122f12e
Why is there no certificate for the self-paced track in this course?,69d122f12e
Is peer-review of the capstone projects required in order to earn the certificate?,69d122f12e
Can I still get the certificate if I skipped the first homework?,9f689c185f
"Is homework required for the course certificate, or is the Capstone enough?",9f689c185f
Do I need to finish every homework assignment to earn a certificate?,9f689c185f
What actually matters for getting the certificate in this course?,9f689c185f
"If homework is optional, what does it affect besides the certificate?",9f689c185f
Why does the homework content keep changing before it’s released?,96286b4be4
What does [DRAFT] mean in a homework title?,96286b4be4
How can I tell if a homework is actually ready to do?,96286b4be4
Is it safe to start a homework early if it still says [DRAFT]?,96286b4be4
When can I trust that the homework version won’t change anymore?,96286b4be4
When is the next run of the course scheduled for?,bd31146b0e
Do you know when the course will be offered again?,bd31146b0e
What’s the next available session for this course?,bd31146b0e
Can you tell me the next time this course is starting?,bd31146b0e
When should I expect the course to be available again?,bd31146b0e
Where do I find the lecture videos for this course?,31456f4b5f
Is there a main place I should open first to get to the lessons and videos?,31456f4b5f
"Do the lesson pages include the videos somewhere, or do I need to search YouTube separately?",31456f4b5f
What’s the best way to keep up with the latest class materials and recordings?,31456f4b5f
Should I use the GitHub repo or the YouTube playlist when I’m looking for the course lectures?,31456f4b5f
Where do I go to see the LLM Zoomcamp syllabus and keep up with deadlines and homework?,20c5a1347e
Is there a central place for tracking my progress in the LLM Zoomcamp course?,20c5a1347e
What platform should I use to follow the current cohort structure and homework for LLM Zoomcamp?,20c5a1347e
How do I find the official LLM Zoomcamp course page with deadlines and progress tracking?,20c5a1347e
"Does LLM Zoomcamp use a course management platform for syllabus, assignments, and deadlines?",20c5a1347e
"Do you have live sessions or office hours for every module in the course, or is everything just pre-recorded?",d65e05bd7a
Where do I go if I get stuck on a lesson and need help with a question?,d65e05bd7a
"How are live sessions announced for this course, since I don't see them listed for each module?",d65e05bd7a
"Is there any extra support with regular Zoom office hours, or is that only part of a paid option?",d65e05bd7a
"Are the main course materials free, and what exactly is included in the optional paid support?",d65e05bd7a
Can I count my Bluesky posts toward the learning in public credits?,dbf5369006
Does posting on Bluesky qualify for learning in public credits?,dbf5369006
Are Bluesky updates accepted as learning in public credits for the course?,dbf5369006
"If I share my learning on Bluesky, can I get public learning credit for it?",dbf5369006
Is Bluesky one of the platforms I can use for learning in public credits?,dbf5369006
What is the Telegram channel for LLM Zoomcamp announcements?,054f3fd58f
Where can I find the LLM Zoomcamp Telegram link?,054f3fd58f
Is there a Telegram group for the LLM Zoomcamp course?,054f3fd58f
What channel should I use for course announcements in LLM Zoomcamp?,054f3fd58f
Should I ask technical questions in the Telegram channel or somewhere else?,054f3fd58f
Why does the FAQ dataset count not match what I see in the course videos?,e2d595f23c
Is it normal that I get a different number of FAQ records when I run the code now?,e2d595f23c
"Did the FAQ data change after the videos were recorded, and could that explain the mismatch?",e2d595f23c
Why are there more or fewer FAQ entries in the live dataset than in the screenshots or demo?,e2d595f23c
How come the record count in the FAQ example is different from the one shown in the May 2026 videos?,e2d595f23c
Can I still turn in the homework if the deadline already passed but the form hasn’t been closed yet?,a9353fadfe
The submission page is still open after the due date — does that mean I’m allowed to send my answers in?,a9353fadfe
"If the homework deadline is over, can I still submit as long as the form is open?",a9353fadfe
Do late homework submissions still work while the course form is open?,a9353fadfe
"When does homework submission actually stop — at the deadline, or only after the form is closed?",a9353fadfe
"Can I still turn in homework after the deadline, or do you close the form right away?",cdc3b285e5
Do you ever give deadline extensions for homework if someone is late?,cdc3b285e5
"If I miss a homework, will it hurt my chance to get the certificate?",cdc3b285e5
"Are homework assignments required for finishing the course, or is something else enough?",cdc3b285e5
What happens to leaderboard points if I skip a homework submission?,cdc3b285e5
"Is the name I enter for the certificate ever shown publicly, or is it kept private?",651ba06b34
"If I put my real name in the certificate field, will it be visible on the leaderboard or shared anywhere else?",651ba06b34
What’s the difference between the display name on the leaderboard and the name printed on the certificate?,651ba06b34
Where do I change the nickname that shows publicly versus the certificate name in my course profile?,651ba06b34
Can I use a random public nickname and still have my real name on the certificate only?,651ba06b34
Why don’t we use LangChain in this course from the start?,b7cdde6b25
What’s the reason for building RAG components by hand instead of using a framework?,b7cdde6b25
Is LangChain skipped because the course wants us to understand retrieval and prompting first?,b7cdde6b25
Wouldn’t it be easier to just use LangChain for indexing and evaluation?,b7cdde6b25
